athlete_id;athlete_name;created_at;discipline;rating
806276;Anika Götze;2002-09-21;singles;1755
806276;Anika Götze;2002-09-21;doubles;1759
806316;Rainer Schütz;2002-09-21;doubles;1778
806316;Rainer Schütz;2002-09-21;mixed;1779
806396;Anja Götze;2002-09-21;doubles;1759
806396;Anja Götze;2002-09-21;mixed;1779
806276;Anika Götze;2002-09-22;singles;1743
806276;Anika Götze;2002-09-22;doubles;1748
806314;Gert Schulz;2002-09-22;doubles;1582
806314;Gert Schulz;2002-09-22;mixed;1584
806316;Rainer Schütz;2002-09-22;singles;1773
806316;Rainer Schütz;2002-09-22;doubles;1767
806396;Anja Götze;2002-09-22;doubles;1748
806396;Anja Götze;2002-09-22;mixed;1801
809363;Andrea Paul;2002-09-22;singles;1546
809363;Andrea Paul;2002-09-22;doubles;1555
806276;Anika Götze;2002-09-28;singles;1731
806276;Anika Götze;2002-09-28;doubles;1752
806310;Heinz Fraulob;2002-09-28;singles;1574
806310;Heinz Fraulob;2002-09-28;doubles;1586
806314;Gert Schulz;2002-09-28;doubles;1601
806314;Gert Schulz;2002-09-28;doubles;1620
806314;Gert Schulz;2002-09-28;mixed;1594
806314;Gert Schulz;2002-09-28;mixed;1608
806316;Rainer Schütz;2002-09-28;singles;1794
806316;Rainer Schütz;2002-09-28;doubles;1779
806396;Anja Götze;2002-09-28;doubles;1752
806396;Anja Götze;2002-09-28;mixed;1812
808514;Stefanie Oertel;2002-09-28;mixed;1581
809384;Susanne Schiller;2002-09-28;singles;1553
809585;Ronny Pabst;2002-09-28;singles;1550
809585;Ronny Pabst;2002-09-28;doubles;1552
806323;Dennis Doer;2002-10-25;doubles;1801
806323;Dennis Doer;2002-10-25;mixed;1801
806276;Anika Götze;2002-10-26;singles;1714
806276;Anika Götze;2002-10-26;doubles;1746
806316;Rainer Schütz;2002-10-26;singles;1784
806316;Rainer Schütz;2002-10-26;doubles;1772
806396;Anja Götze;2002-10-26;doubles;1746
806396;Anja Götze;2002-10-26;mixed;1819
806310;Heinz Fraulob;2002-10-27;singles;1587
806310;Heinz Fraulob;2002-10-27;doubles;1607
806314;Gert Schulz;2002-10-27;doubles;1641
806314;Gert Schulz;2002-10-27;mixed;1595
806323;Dennis Doer;2002-10-27;doubles;1812
806323;Dennis Doer;2002-10-27;mixed;1809
808577;Gerd Kanikowski;2002-10-27;singles;1582
808577;Gerd Kanikowski;2002-10-27;doubles;1579
809585;Ronny Pabst;2002-10-27;singles;1539
809585;Ronny Pabst;2002-10-27;doubles;1544
806323;Dennis Doer;2002-10-31;doubles;1832
806323;Dennis Doer;2002-10-31;mixed;1821
806276;Anika Götze;2002-11-02;singles;1711
806276;Anika Götze;2002-11-02;doubles;1731
806311;Thilo Gottschlag;2002-11-02;doubles;1695
806311;Thilo Gottschlag;2002-11-02;mixed;1700
806314;Gert Schulz;2002-11-02;singles;1559
806314;Gert Schulz;2002-11-02;doubles;1658
806316;Rainer Schütz;2002-11-02;singles;1790
806316;Rainer Schütz;2002-11-02;doubles;1787
806396;Anja Götze;2002-11-02;doubles;1731
806396;Anja Götze;2002-11-02;mixed;1829
808514;Stefanie Oertel;2002-11-02;doubles;1579
808514;Stefanie Oertel;2002-11-02;mixed;1603
808577;Gerd Kanikowski;2002-11-02;singles;1572
808577;Gerd Kanikowski;2002-11-02;doubles;1566
809384;Susanne Schiller;2002-11-02;singles;1541
809384;Susanne Schiller;2002-11-02;doubles;1579
809585;Ronny Pabst;2002-11-02;singles;1525
809585;Ronny Pabst;2002-11-02;doubles;1531
806310;Heinz Fraulob;2002-11-03;singles;1594
806310;Heinz Fraulob;2002-11-03;doubles;1614
806311;Thilo Gottschlag;2002-11-03;doubles;1708
806311;Thilo Gottschlag;2002-11-03;mixed;1709
806314;Gert Schulz;2002-11-03;singles;1574
806314;Gert Schulz;2002-11-03;doubles;1665
806323;Dennis Doer;2002-11-03;doubles;1842
806323;Dennis Doer;2002-11-03;mixed;1827
808514;Stefanie Oertel;2002-11-03;doubles;1561
808514;Stefanie Oertel;2002-11-03;mixed;1612
809384;Susanne Schiller;2002-11-03;singles;1553
809384;Susanne Schiller;2002-11-03;doubles;1561
809585;Ronny Pabst;2002-11-03;doubles;1539
809585;Ronny Pabst;2002-11-03;mixed;1589
806310;Heinz Fraulob;2002-11-09;singles;1591
806310;Heinz Fraulob;2002-11-09;doubles;1603
806311;Thilo Gottschlag;2002-11-09;doubles;1722
806311;Thilo Gottschlag;2002-11-09;mixed;1702
806314;Gert Schulz;2002-11-09;singles;1594
806314;Gert Schulz;2002-11-09;doubles;1654
806323;Dennis Doer;2002-11-09;doubles;1830
806323;Dennis Doer;2002-11-09;mixed;1815
807743;Martin Braun;2002-11-09;singles;1588
807743;Martin Braun;2002-11-09;doubles;1558
808514;Stefanie Oertel;2002-11-09;doubles;1550
808514;Stefanie Oertel;2002-11-09;mixed;1601
808577;Gerd Kanikowski;2002-11-09;singles;1582
808577;Gerd Kanikowski;2002-11-09;doubles;1558
809384;Susanne Schiller;2002-11-09;singles;1538
809384;Susanne Schiller;2002-11-09;doubles;1550
809585;Ronny Pabst;2002-11-09;doubles;1531
809585;Ronny Pabst;2002-11-09;mixed;1578
806276;Anika Götze;2002-11-10;singles;1697
806276;Anika Götze;2002-11-10;doubles;1716
806316;Rainer Schütz;2002-11-10;singles;1803
806316;Rainer Schütz;2002-11-10;doubles;1810
806323;Dennis Doer;2002-11-10;doubles;1804
806323;Dennis Doer;2002-11-10;mixed;1801
806396;Anja Götze;2002-11-10;doubles;1716
806396;Anja Götze;2002-11-10;mixed;1843
806276;Anika Götze;2002-11-16;singles;1683
806276;Anika Götze;2002-11-16;doubles;1701
806310;Heinz Fraulob;2002-11-16;doubles;1587
806310;Heinz Fraulob;2002-11-16;mixed;1554
806311;Thilo Gottschlag;2002-11-16;doubles;1705
806311;Thilo Gottschlag;2002-11-16;doubles;1714
806311;Thilo Gottschlag;2002-11-16;mixed;1720
806311;Thilo Gottschlag;2002-11-16;mixed;1730
806316;Rainer Schütz;2002-11-16;singles;1814
806316;Rainer Schütz;2002-11-16;doubles;1793
806396;Anja Götze;2002-11-16;doubles;1701
806396;Anja Götze;2002-11-16;mixed;1861
807743;Martin Braun;2002-11-16;singles;1579
807743;Martin Braun;2002-11-16;doubles;1567
808514;Stefanie Oertel;2002-11-16;doubles;1535
808514;Stefanie Oertel;2002-11-16;mixed;1588
809384;Susanne Schiller;2002-11-16;singles;1532
809384;Susanne Schiller;2002-11-16;doubles;1535
806310;Heinz Fraulob;2002-11-17;singles;1579
806310;Heinz Fraulob;2002-11-17;doubles;1575
806311;Thilo Gottschlag;2002-11-17;doubles;1725
806311;Thilo Gottschlag;2002-11-17;mixed;1740
806323;Dennis Doer;2002-11-17;doubles;1793
806323;Dennis Doer;2002-11-17;mixed;1788
806276;Anika Götze;2002-12-07;singles;1670
806276;Anika Götze;2002-12-07;doubles;1690
806310;Heinz Fraulob;2002-12-07;singles;1590
806310;Heinz Fraulob;2002-12-07;doubles;1591
806311;Thilo Gottschlag;2002-12-07;doubles;1737
806311;Thilo Gottschlag;2002-12-07;mixed;1751
806314;Gert Schulz;2002-12-07;doubles;1670
806314;Gert Schulz;2002-12-07;mixed;1607
806316;Rainer Schütz;2002-12-07;singles;1805
806316;Rainer Schütz;2002-12-07;doubles;1798
806396;Anja Götze;2002-12-07;doubles;1690
806396;Anja Götze;2002-12-07;mixed;1858
807743;Martin Braun;2002-12-07;singles;1603
807743;Martin Braun;2002-12-07;doubles;1583
808577;Gerd Kanikowski;2002-12-07;singles;1598
808577;Gerd Kanikowski;2002-12-07;doubles;1574
809384;Susanne Schiller;2002-12-07;singles;1558
809384;Susanne Schiller;2002-12-07;doubles;1551
806323;Dennis Doer;2002-12-08;singles;1782
806323;Dennis Doer;2002-12-08;doubles;1797
806323;Dennis Doer;2002-12-13;doubles;1785
806323;Dennis Doer;2002-12-13;mixed;1800
806276;Anika Götze;2002-12-14;singles;1657
806276;Anika Götze;2002-12-14;doubles;1707
806310;Heinz Fraulob;2002-12-14;singles;1579
806310;Heinz Fraulob;2002-12-14;doubles;1582
806311;Thilo Gottschlag;2002-12-14;doubles;1728
806311;Thilo Gottschlag;2002-12-14;mixed;1765
806316;Rainer Schütz;2002-12-14;singles;1823
806316;Rainer Schütz;2002-12-14;doubles;1811
806396;Anja Götze;2002-12-14;doubles;1707
806396;Anja Götze;2002-12-14;mixed;1867
808577;Gerd Kanikowski;2002-12-14;singles;1614
808577;Gerd Kanikowski;2002-12-14;doubles;1569
809363;Andrea Paul;2002-12-15;singles;1530
809363;Andrea Paul;2002-12-15;doubles;1570
806276;Anika Götze;2003-01-10;singles;1642
806276;Anika Götze;2003-01-10;doubles;1698
806316;Rainer Schütz;2003-01-10;singles;1812
806316;Rainer Schütz;2003-01-10;doubles;1820
806396;Anja Götze;2003-01-10;doubles;1698
806396;Anja Götze;2003-01-10;mixed;1876
809363;Andrea Paul;2003-01-10;singles;1539
809363;Andrea Paul;2003-01-10;doubles;1584
806311;Thilo Gottschlag;2003-01-11;doubles;1740
806311;Thilo Gottschlag;2003-01-11;mixed;1749
806314;Gert Schulz;2003-01-11;doubles;1686
806314;Gert Schulz;2003-01-11;mixed;1596
807743;Martin Braun;2003-01-11;singles;1614
807743;Martin Braun;2003-01-11;doubles;1598
808514;Stefanie Oertel;2003-01-11;doubles;1525
808514;Stefanie Oertel;2003-01-11;mixed;1577
808577;Gerd Kanikowski;2003-01-11;singles;1629
808577;Gerd Kanikowski;2003-01-11;doubles;1585
809384;Susanne Schiller;2003-01-11;singles;1547
809384;Susanne Schiller;2003-01-11;doubles;1541
806323;Dennis Doer;2003-01-12;doubles;1795
806323;Dennis Doer;2003-01-12;mixed;1816
806276;Anika Götze;2003-01-18;singles;1632
806276;Anika Götze;2003-01-18;doubles;1683
806316;Rainer Schütz;2003-01-18;singles;1821
806316;Rainer Schütz;2003-01-18;doubles;1828
806323;Dennis Doer;2003-01-18;doubles;1785
806323;Dennis Doer;2003-01-18;mixed;1827
806396;Anja Götze;2003-01-18;doubles;1683
806396;Anja Götze;2003-01-18;mixed;1887
808577;Gerd Kanikowski;2003-01-18;singles;1640
808577;Gerd Kanikowski;2003-01-18;doubles;1568
806276;Anika Götze;2003-01-24;doubles;1669
806316;Rainer Schütz;2003-01-24;singles;1830
806316;Rainer Schütz;2003-01-24;doubles;1836
806396;Anja Götze;2003-01-24;doubles;1669
806396;Anja Götze;2003-01-24;mixed;1902
806310;Heinz Fraulob;2003-01-26;singles;1589
806310;Heinz Fraulob;2003-01-26;doubles;1560
806314;Gert Schulz;2003-01-26;doubles;1664
806314;Gert Schulz;2003-01-26;mixed;1604
807743;Martin Braun;2003-01-26;singles;1627
807743;Martin Braun;2003-01-26;doubles;1586
808514;Stefanie Oertel;2003-01-26;doubles;1539
808514;Stefanie Oertel;2003-01-26;mixed;1585
808577;Gerd Kanikowski;2003-01-26;singles;1651
808577;Gerd Kanikowski;2003-01-26;doubles;1556
809384;Susanne Schiller;2003-01-26;singles;1563
809384;Susanne Schiller;2003-01-26;doubles;1555
806311;Thilo Gottschlag;2003-02-14;doubles;1748
806311;Thilo Gottschlag;2003-02-14;mixed;1743
806276;Anika Götze;2003-02-15;singles;1624
806276;Anika Götze;2003-02-15;doubles;1650
806316;Rainer Schütz;2003-02-15;singles;1834
806316;Rainer Schütz;2003-02-15;doubles;1841
806323;Dennis Doer;2003-02-15;doubles;1775
806323;Dennis Doer;2003-02-15;mixed;1821
806396;Anja Götze;2003-02-15;doubles;1650
806396;Anja Götze;2003-02-15;mixed;1908
806314;Gert Schulz;2003-02-16;mixed;1608
806323;Dennis Doer;2003-02-16;doubles;1788
806323;Dennis Doer;2003-02-16;mixed;1832
807743;Martin Braun;2003-02-16;singles;1616
807743;Martin Braun;2003-02-16;doubles;1581
808514;Stefanie Oertel;2003-02-16;doubles;1526
808514;Stefanie Oertel;2003-02-16;mixed;1589
808577;Gerd Kanikowski;2003-02-16;singles;1663
808577;Gerd Kanikowski;2003-02-16;doubles;1551
809384;Susanne Schiller;2003-02-16;singles;1548
809384;Susanne Schiller;2003-02-16;doubles;1542
806316;Rainer Schütz;2003-02-20;singles;1847
806316;Rainer Schütz;2003-02-20;doubles;1852
806396;Anja Götze;2003-02-20;doubles;1646
806396;Anja Götze;2003-02-20;mixed;1917
808514;Stefanie Oertel;2003-02-20;singles;1556
808514;Stefanie Oertel;2003-02-20;doubles;1522
806323;Dennis Doer;2003-02-24;doubles;1803
806323;Dennis Doer;2003-02-24;mixed;1833
806310;Heinz Fraulob;2003-03-01;singles;1578
806310;Heinz Fraulob;2003-03-01;doubles;1571
806311;Thilo Gottschlag;2003-03-01;doubles;1754
806311;Thilo Gottschlag;2003-03-01;mixed;1751
806314;Gert Schulz;2003-03-01;doubles;1675
806314;Gert Schulz;2003-03-01;mixed;1624
808514;Stefanie Oertel;2003-03-01;doubles;1506
808514;Stefanie Oertel;2003-03-01;mixed;1605
808577;Gerd Kanikowski;2003-03-01;singles;1675
808577;Gerd Kanikowski;2003-03-01;doubles;1536
809384;Susanne Schiller;2003-03-01;singles;1534
809384;Susanne Schiller;2003-03-01;doubles;1526
806276;Anika Götze;2003-09-19;singles;1619
806276;Anika Götze;2003-09-19;doubles;1642
806310;Heinz Fraulob;2003-09-19;doubles;1560
806310;Heinz Fraulob;2003-09-19;mixed;1569
806314;Gert Schulz;2003-09-19;singles;1589
806314;Gert Schulz;2003-09-19;doubles;1664
806396;Anja Götze;2003-09-19;doubles;1638
806396;Anja Götze;2003-09-19;mixed;1932
810156;Andreas Karos;2003-09-19;singles;1542
806310;Heinz Fraulob;2003-09-20;doubles;1542
806310;Heinz Fraulob;2003-09-20;mixed;1577
806311;Thilo Gottschlag;2003-09-20;doubles;1761
806314;Gert Schulz;2003-09-20;singles;1599
806314;Gert Schulz;2003-09-20;doubles;1671
808514;Stefanie Oertel;2003-09-20;doubles;1516
808514;Stefanie Oertel;2003-09-20;mixed;1613
808845;Lilian Malanowsky;2003-09-20;singles;1440
808845;Lilian Malanowsky;2003-09-20;doubles;1466
806311;Thilo Gottschlag;2003-09-21;doubles;1765
806311;Thilo Gottschlag;2003-09-21;mixed;1760
806314;Gert Schulz;2003-09-21;singles;1592
806314;Gert Schulz;2003-09-21;doubles;1675
806311;Thilo Gottschlag;2003-09-26;doubles;1775
806311;Thilo Gottschlag;2003-09-26;mixed;1769
806314;Gert Schulz;2003-09-26;singles;1577
806314;Gert Schulz;2003-09-26;doubles;1666
807743;Martin Braun;2003-09-26;singles;1618
807743;Martin Braun;2003-09-26;doubles;1591
809363;Andrea Paul;2003-09-26;doubles;1573
809363;Andrea Paul;2003-09-26;mixed;1573
806323;Dennis Doer;2003-09-27;doubles;1796
806323;Dennis Doer;2003-09-27;mixed;1826
808514;Stefanie Oertel;2003-09-27;doubles;1504
808514;Stefanie Oertel;2003-09-27;mixed;1594
808845;Lilian Malanowsky;2003-09-27;singles;1436
808845;Lilian Malanowsky;2003-09-27;doubles;1454
808884;Tobias Schultze;2003-09-27;singles;1472
808884;Tobias Schultze;2003-09-27;doubles;1465
806323;Dennis Doer;2003-09-28;doubles;1783
806323;Dennis Doer;2003-09-28;mixed;1836
806323;Dennis Doer;2003-10-24;doubles;1792
806323;Dennis Doer;2003-10-24;mixed;1842
806276;Anika Götze;2003-10-25;singles;1627
806276;Anika Götze;2003-10-25;doubles;1653
806310;Heinz Fraulob;2003-10-25;doubles;1554
806310;Heinz Fraulob;2003-10-25;mixed;1582
806396;Anja Götze;2003-10-25;doubles;1649
806396;Anja Götze;2003-10-25;mixed;1937
808514;Stefanie Oertel;2003-10-25;doubles;1494
808514;Stefanie Oertel;2003-10-25;mixed;1585
808577;Gerd Kanikowski;2003-10-25;singles;1684
808577;Gerd Kanikowski;2003-10-25;doubles;1548
808884;Tobias Schultze;2003-10-25;singles;1494
808884;Tobias Schultze;2003-10-25;doubles;1453
809384;Susanne Schiller;2003-10-25;singles;1523
809384;Susanne Schiller;2003-10-25;doubles;1516
810156;Andreas Karos;2003-10-25;singles;1518
806276;Anika Götze;2003-10-26;singles;1617
806276;Anika Götze;2003-10-26;doubles;1664
806310;Heinz Fraulob;2003-10-26;doubles;1563
806310;Heinz Fraulob;2003-10-26;mixed;1589
806323;Dennis Doer;2003-10-26;doubles;1781
806323;Dennis Doer;2003-10-26;doubles;1788
806323;Dennis Doer;2003-10-26;mixed;1845
806323;Dennis Doer;2003-10-26;mixed;1853
806396;Anja Götze;2003-10-26;doubles;1660
806396;Anja Götze;2003-10-26;mixed;1944
808577;Gerd Kanikowski;2003-10-26;singles;1694
808577;Gerd Kanikowski;2003-10-26;doubles;1557
809384;Susanne Schiller;2003-10-26;singles;1516
809384;Susanne Schiller;2003-10-26;doubles;1511
810156;Andreas Karos;2003-10-26;singles;1523
810156;Andreas Karos;2003-10-26;doubles;1549
806311;Thilo Gottschlag;2003-11-08;doubles;1770
806311;Thilo Gottschlag;2003-11-08;mixed;1782
806314;Gert Schulz;2003-11-08;singles;1563
806314;Gert Schulz;2003-11-08;doubles;1661
808514;Stefanie Oertel;2003-11-08;doubles;1502
808514;Stefanie Oertel;2003-11-08;mixed;1592
808845;Lilian Malanowsky;2003-11-08;singles;1416
808845;Lilian Malanowsky;2003-11-08;doubles;1462
809585;Ronny Pabst;2003-11-08;doubles;1538
809585;Ronny Pabst;2003-11-08;mixed;1585
806323;Dennis Doer;2003-11-09;doubles;1781
806323;Dennis Doer;2003-11-09;mixed;1864
808514;Stefanie Oertel;2003-11-09;doubles;1487
808514;Stefanie Oertel;2003-11-09;mixed;1599
808845;Lilian Malanowsky;2003-11-09;singles;1437
808845;Lilian Malanowsky;2003-11-09;doubles;1447
808884;Tobias Schultze;2003-11-09;singles;1505
808884;Tobias Schultze;2003-11-09;doubles;1467
809585;Ronny Pabst;2003-11-09;doubles;1552
809585;Ronny Pabst;2003-11-09;mixed;1592
806276;Anika Götze;2003-11-10;singles;1603
806276;Anika Götze;2003-11-10;doubles;1677
806310;Heinz Fraulob;2003-11-10;doubles;1552
806310;Heinz Fraulob;2003-11-10;mixed;1598
806396;Anja Götze;2003-11-10;doubles;1673
806396;Anja Götze;2003-11-10;mixed;1953
807743;Martin Braun;2003-11-10;singles;1608
807743;Martin Braun;2003-11-10;doubles;1578
808577;Gerd Kanikowski;2003-11-10;singles;1684
808577;Gerd Kanikowski;2003-11-10;doubles;1544
810156;Andreas Karos;2003-11-10;singles;1513
810156;Andreas Karos;2003-11-10;doubles;1538
806276;Anika Götze;2003-11-15;singles;1591
806276;Anika Götze;2003-11-15;doubles;1689
806310;Heinz Fraulob;2003-11-15;doubles;1546
806310;Heinz Fraulob;2003-11-15;mixed;1607
806311;Thilo Gottschlag;2003-11-15;doubles;1754
806311;Thilo Gottschlag;2003-11-15;mixed;1797
806314;Gert Schulz;2003-11-15;singles;1553
806314;Gert Schulz;2003-11-15;doubles;1645
806396;Anja Götze;2003-11-15;doubles;1685
806396;Anja Götze;2003-11-15;mixed;1962
807523;Dan Guddat;2003-11-15;singles;1473
807523;Dan Guddat;2003-11-15;doubles;1470
808514;Stefanie Oertel;2003-11-15;doubles;1493
808514;Stefanie Oertel;2003-11-15;mixed;1608
808577;Gerd Kanikowski;2003-11-15;singles;1691
808577;Gerd Kanikowski;2003-11-15;doubles;1537
808884;Tobias Schultze;2003-11-15;singles;1519
808884;Tobias Schultze;2003-11-15;doubles;1461
809384;Susanne Schiller;2003-11-15;singles;1508
809384;Susanne Schiller;2003-11-15;doubles;1517
809585;Ronny Pabst;2003-11-15;doubles;1566
809585;Ronny Pabst;2003-11-15;mixed;1601
810156;Andreas Karos;2003-11-15;singles;1501
810156;Andreas Karos;2003-11-15;doubles;1531
806310;Heinz Fraulob;2003-11-16;doubles;1558
806310;Heinz Fraulob;2003-11-16;mixed;1603
806311;Thilo Gottschlag;2003-11-16;doubles;1764
806311;Thilo Gottschlag;2003-11-16;mixed;1811
806314;Gert Schulz;2003-11-16;singles;1543
806314;Gert Schulz;2003-11-16;doubles;1655
806396;Anja Götze;2003-11-16;mixed;1958
807523;Dan Guddat;2003-11-16;singles;1498
807523;Dan Guddat;2003-11-16;doubles;1475
807743;Martin Braun;2003-11-16;singles;1602
807743;Martin Braun;2003-11-16;doubles;1576
808514;Stefanie Oertel;2003-11-16;doubles;1506
808514;Stefanie Oertel;2003-11-16;mixed;1620
808577;Gerd Kanikowski;2003-11-16;singles;1700
808577;Gerd Kanikowski;2003-11-16;doubles;1535
809384;Susanne Schiller;2003-11-16;singles;1521
809384;Susanne Schiller;2003-11-16;doubles;1530
809585;Ronny Pabst;2003-11-16;doubles;1571
809585;Ronny Pabst;2003-11-16;mixed;1613
810156;Andreas Karos;2003-11-16;singles;1505
810156;Andreas Karos;2003-11-16;doubles;1543
806276;Anika Götze;2003-11-21;doubles;1694
806276;Anika Götze;2003-11-21;mixed;1584
809384;Susanne Schiller;2003-11-21;singles;1505
809384;Susanne Schiller;2003-11-21;doubles;1535
806276;Anika Götze;2003-12-13;singles;1575
806276;Anika Götze;2003-12-13;doubles;1704
806310;Heinz Fraulob;2003-12-13;doubles;1566
806310;Heinz Fraulob;2003-12-13;mixed;1608
806311;Thilo Gottschlag;2003-12-13;doubles;1770
806311;Thilo Gottschlag;2003-12-13;mixed;1818
806314;Gert Schulz;2003-12-13;singles;1563
806314;Gert Schulz;2003-12-13;doubles;1666
806396;Anja Götze;2003-12-13;doubles;1695
806396;Anja Götze;2003-12-13;mixed;1963
807743;Martin Braun;2003-12-13;singles;1587
807743;Martin Braun;2003-12-13;doubles;1562
808577;Gerd Kanikowski;2003-12-13;singles;1707
808577;Gerd Kanikowski;2003-12-13;singles;1711
808577;Gerd Kanikowski;2003-12-13;doubles;1541
808577;Gerd Kanikowski;2003-12-13;doubles;1527
810156;Andreas Karos;2003-12-13;singles;1489
810156;Andreas Karos;2003-12-13;doubles;1551
806311;Thilo Gottschlag;2003-12-14;doubles;1776
806311;Thilo Gottschlag;2003-12-14;mixed;1828
806314;Gert Schulz;2003-12-14;singles;1575
806314;Gert Schulz;2003-12-14;doubles;1672
806323;Dennis Doer;2003-12-14;doubles;1773
806323;Dennis Doer;2003-12-14;mixed;1869
