athlete_id;athlete_name;created_at;discipline;skill_mean;skill_std
806276;Anika Götze;2002-09-21;singles;20.7944;7.19472
806276;Anika Götze;2002-09-21;doubles;22.0262;7.78509
806316;Rainer Schütz;2002-09-21;doubles;22.0262;7.78509
806316;Rainer Schütz;2002-09-21;mixed;22.0262;7.78509
806396;Anja Götze;2002-09-21;doubles;22.0262;7.78509
806396;Anja Götze;2002-09-21;mixed;22.0262;7.78509
806276;Anika Götze;2002-09-22;singles;18.3211;6.49617
806276;Anika Götze;2002-09-22;doubles;20.0172;7.37433
806314;Gert Schulz;2002-09-22;doubles;27.9738;7.78509
806314;Gert Schulz;2002-09-22;mixed;27.9738;7.78509
806316;Rainer Schütz;2002-09-22;singles;20.7944;7.19472
806316;Rainer Schütz;2002-09-22;doubles;20.0172;7.37433
806396;Anja Götze;2002-09-22;doubles;20.0172;7.37433
806396;Anja Götze;2002-09-22;mixed;25.0035;7.30314
809363;Andrea Paul;2002-09-22;singles;20.7944;7.19472
809363;Andrea Paul;2002-09-22;doubles;22.0262;7.78509
806276;Anika Götze;2002-09-28;singles;16.6368;6.01053
806276;Anika Götze;2002-09-28;doubles;23.1677;6.89324
806310;Heinz Fraulob;2002-09-28;singles;28.318;7.22686
806310;Heinz Fraulob;2002-09-28;doubles;28.2617;7.71413
806314;Gert Schulz;2002-09-28;doubles;29.9828;7.37433
806314;Gert Schulz;2002-09-28;doubles;32.5371;6.94908
806314;Gert Schulz;2002-09-28;mixed;29.9828;7.37433
806314;Gert Schulz;2002-09-28;mixed;32.5371;6.94908
806316;Rainer Schütz;2002-09-28;singles;24.5152;6.25771
806316;Rainer Schütz;2002-09-28;doubles;22.1158;6.97646
806396;Anja Götze;2002-09-28;doubles;23.1677;6.89324
806396;Anja Götze;2002-09-28;mixed;26.8245;6.9466
808514;Stefanie Oertel;2002-09-28;mixed;28.2617;7.71413
809384;Susanne Schiller;2002-09-28;singles;20.7944;7.19472
809585;Ronny Pabst;2002-09-28;singles;19.3051;6.90558
809585;Ronny Pabst;2002-09-28;doubles;20.8097;7.64422
806323;Dennis Doer;2002-10-25;doubles;26.8403;7.86805
806323;Dennis Doer;2002-10-25;mixed;27.2194;7.82976
806276;Anika Götze;2002-10-26;singles;15.267;5.55104
806276;Anika Götze;2002-10-26;doubles;21.5484;6.55647
806316;Rainer Schütz;2002-10-26;singles;21.3328;5.57196
806316;Rainer Schütz;2002-10-26;doubles;20.9322;6.68681
806396;Anja Götze;2002-10-26;doubles;21.5484;6.55647
806396;Anja Götze;2002-10-26;mixed;29.8469;6.49441
806310;Heinz Fraulob;2002-10-27;singles;29.7105;6.64905
806310;Heinz Fraulob;2002-10-27;doubles;29.203;7.4295
806314;Gert Schulz;2002-10-27;doubles;33.301;6.74193
806314;Gert Schulz;2002-10-27;mixed;28.9386;6.52224
806323;Dennis Doer;2002-10-27;doubles;29.0025;7.39283
806323;Dennis Doer;2002-10-27;mixed;29.4136;7.35549
