match_type;games;avg_orig_smaller_div_bigger_gamescore_permil;std_orig_smaller_div_bigger_gamescore_permil;losers_original_points_pct
2.HE;2;24;24;2.4
DD;2;24;24;2.4
3.HE;2;24;24;2.4
DE;2;24;24;2.4
3.HE;2;24;24;2.4
2.HD;2;24;24;2.4
Mix;2;24;24;2.4
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HE;2;33;33;3.3
2.HD;2;33;33;3.3
2.HD;2;33;33;3.3
3.HE;2;33;33;3.3
1.HD;2;33;33;3.3
2.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
1.HE;2;33;33;3.3
2.HE;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
2.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HE;2;33;33;3.3
1.HD;2;33;33;3.3
DD;2;33;33;3.3
1.HE;2;33;33;3.3
DD;2;33;33;3.3
3.HE;2;33;33;3.3
DD;2;33;33;3.3
3.HE;2;33;33;3.3
Mix;2;33;33;3.3
2.HE;2;33;33;3.3
1.HE;2;33;33;3.3
DD;2;33;33;3.3
Mix;2;33;33;3.3
2.HD;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
2.HE;2;33;33;3.3
2.HE;2;33;33;3.3
DD;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
2.HE;2;33;33;3.3
Mix;2;33;33;3.3
Mix;2;33;33;3.3
3.HE;2;33;33;3.3
1.HD;2;33;33;3.3
DD;2;33;33;3.3
3.HE;2;33;33;3.3
1.HE;2;33;33;3.3
2.HD;2;33;33;3.3
1.HE;2;33;33;3.3
2.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
Mix;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
1.HD;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
DD;2;33;33;3.3
DD;2;33;33;3.3
1.HE;2;33;33;3.3
2.HE;2;33;33;3.3
Mix;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
DD;2;33;33;3.3
1.HE;2;33;33;3.3
2.HE;2;33;33;3.3
DD;2;33;33;3.3
2.HD;2;33;33;3.3
2.HE;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HE;2;33;33;3.3
DD;2;33;33;3.3
1.HD;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
Mix;2;33;33;3.3
3.HE;2;33;33;3.3
2.HE;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
1.HE;2;33;33;3.3
1.HD;2;33;33;3.3
DD;2;33;33;3.3
Mix;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
2.HD;2;33;33;3.3
DD;2;33;33;3.3
3.HE;2;33;33;3.3
3.HE;2;33;33;3.3
1.HE;2;33;33;3.3
2.HE;2;33;33;3.3
DD;2;33;33;3.3
1.HE;2;33;33;3.3
3.HE;2;33;33;3.3
DD;2;33;33;3.3
2.HE;2;33;33;3.3
3.HE;2;33;33;3.3
Mix;2;33;33;3.3
DD;2;33;33;3.3
1.HE;2;33;33;3.3
DD;2;33;33;3.3
DD;2;33;33;3.3
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
DE;2;45;45;4.5
